match_id,Season,total_runs
574,IPL-2015,289
575,IPL-2015,279
576,IPL-2015,363
577,IPL-2016,247
578,IPL-2016,197
579,IPL-2016,323
580,IPL-2016,409
581,IPL-2016,375
582,IPL-2016,327
583,IPL-2016,224
584,IPL-2016,288
585,IPL-2016,290
586,IPL-2016,305
587,IPL-2016,383
588,IPL-2016,287
589,IPL-2016,279
590,IPL-2016,341
591,IPL-2016,272
592,IPL-2016,357
593,IPL-2016,318
594,IPL-2016,289
595,IPL-2016,362
596,IPL-2016,322
597,IPL-2016,353
598,IPL-2016,212
599,IPL-2016,343
600,IPL-2016,352
601,IPL-2016,391
602,IPL-2016,345
603,IPL-2016,373
604,IPL-2016,285
605,IPL-2016,320
606,IPL-2016,374
607,IPL-2016,299
608,IPL-2016,321
609,IPL-2016,328
610,IPL-2016,255
611,IPL-2016,386
612,IPL-2016,353
613,IPL-2016,269
614,IPL-2016,322
615,IPL-2016,349
616,IPL-2016,270
617,IPL-2016,304
618,IPL-2016,296
619,IPL-2016,251
620,IPL-2016,352
621,IPL-2016,169
622,IPL-2016,359
623,IPL-2016,332
624,IPL-2016,369
625,IPL-2016,197
626,IPL-2016,331
627,IPL-2016,249
628,IPL-2016,319
629,IPL-2016,345
630,IPL-2016,345
631,IPL-2016,320
632,IPL-2016,277
633,IPL-2016,317
634,IPL-2016,302
635,IPL-2016,325
636,IPL-2016,408
7894,IPL-2018,345
7895,IPL-2018,340
7896,IPL-2018,372
7897,IPL-2018,268
7898,IPL-2018,419
7899,IPL-2018,219
7900,IPL-2018,310
7901,IPL-2018,324
7902,IPL-2018,401
7903,IPL-2018,289
7904,IPL-2018,435
7905,IPL-2018,404
7906,IPL-2018,342
7907,IPL-2018,403
7908,IPL-2018,331
7909,IPL-2018,392
7910,IPL-2018,358
7911,IPL-2018,328
7912,IPL-2018,366
7913,IPL-2018,366
7914,IPL-2018,346
7915,IPL-2018,305
7916,IPL-2018,219
7917,IPL-2018,431
7918,IPL-2018,261
7919,IPL-2018,391
7920,IPL-2018,356
7921,IPL-2018,293
7922,IPL-2018,369
7923,IPL-2018,424
7924,IPL-2018,349
7925,IPL-2018,353
7926,IPL-2018,376
7927,IPL-2018,366
7928,IPL-2018,266
7929,IPL-2018,336
7930,IPL-2018,364
7931,IPL-2018,318
7932,IPL-2018,301
7933,IPL-2018,310
7934,IPL-2018,326
7935,IPL-2018,383
7936,IPL-2018,368
7937,IPL-2018,471
7938,IPL-2018,386
7939,IPL-2018,373
7940,IPL-2018,358
7941,IPL-2018,189
7942,IPL-2018,291
7943,IPL-2018,389
7944,IPL-2018,431
7945,IPL-2018,301
7946,IPL-2018,306
7947,IPL-2018,363
7948,IPL-2018,356
7949,IPL-2018,332
7950,IPL-2018,293
7951,IPL-2018,324
7952,IPL-2018,342
7953,IPL-2018,373
11137,IPL-2019,150
11138,IPL-2019,376
11139,IPL-2019,404
11140,IPL-2019,375
11141,IPL-2019,311
11142,IPL-2019,419
11143,IPL-2019,383
11144,IPL-2019,410
11145,IPL-2019,372
11146,IPL-2019,399
11147,IPL-2019,353
11148,IPL-2019,356
11149,IPL-2019,338
11150,IPL-2019,337
11151,IPL-2019,323
11152,IPL-2019,276
11153,IPL-2019,429
11309,IPL-2019,307
11310,IPL-2019,244
11311,IPL-2019,318
11312,IPL-2019,301
11313,IPL-2019,310
11314,IPL-2019,231
11315,IPL-2019,414
11316,IPL-2019,322
11317,IPL-2019,366
11318,IPL-2019,383
11319,IPL-2019,355
11320,IPL-2019,334
11321,IPL-2019,285
11322,IPL-2019,357
11323,IPL-2019,370
11324,IPL-2019,279
11325,IPL-2019,310
11326,IPL-2019,438
11327,IPL-2019,338
11328,IPL-2019,345
11329,IPL-2019,331
11330,IPL-2019,337
11331,IPL-2019,390
11332,IPL-2019,364
11333,IPL-2019,402
11334,IPL-2019,367
11335,IPL-2019,275
11336,IPL-2019,335
11337,IPL-2019,368
11338,IPL-2019,443
11339,IPL-2019,406
11340,IPL-2019,107
11341,IPL-2019,285
11342,IPL-2019,351
11343,IPL-2019,378
11344,IPL-2019,250
11345,IPL-2019,366
11346,IPL-2019,359
11347,IPL-2019,280
11412,IPL-2019,276
11413,IPL-2019,341
11414,IPL-2019,317
11415,IPL-2019,309
